ticker,date,ret,signal_nl,mktcap,sector
AAPL,2022-01-31,0.025,1.20,2500000000000,Technology
AAPL,2022-02-28,-0.015,1.18,2450000000000,Technology
AAPL,2022-03-31,0.012,1.22,2475000000000,Technology
AAPL,2022-04-30,0.010,1.25,2490000000000,Technology
AAPL,2022-05-31,-0.008,1.23,2465000000000,Technology
AAPL,2022-06-30,0.020,1.27,2510000000000,Technology
MSFT,2022-01-31,0.018,1.10,2200000000000,Technology
MSFT,2022-02-28,-0.010,1.09,2170000000000,Technology
MSFT,2022-03-31,0.020,1.13,2215000000000,Technology
MSFT,2022-04-30,0.014,1.15,2230000000000,Technology
MSFT,2022-05-31,-0.005,1.14,2210000000000,Technology
MSFT,2022-06-30,0.022,1.18,2245000000000,Technology
XOM,2022-01-31,0.030,0.95,300000000000,Energy
XOM,2022-02-28,0.022,0.96,305000000000,Energy
XOM,2022-03-31,0.015,0.98,308000000000,Energy
XOM,2022-04-30,0.012,0.99,310000000000,Energy
XOM,2022-05-31,0.008,1.00,312000000000,Energy
XOM,2022-06-30,0.018,1.02,316000000000,Energy
TSLA,2022-01-31,0.040,1.35,900000000000,Consumer Discretionary
TSLA,2022-02-28,-0.025,1.30,880000000000,Consumer Discretionary
TSLA,2022-03-31,0.035,1.38,910000000000,Consumer Discretionary
TSLA,2022-04-30,0.028,1.40,920000000000,Consumer Discretionary
TSLA,2022-05-31,-0.020,1.37,902000000000,Consumer Discretionary
TSLA,2022-06-30,0.032,1.42,925000000000,Consumer Discretionary

