ticker,company,lat,lon
AAPL,Apple Inc.,37.3349,-122.0090
MSFT,Microsoft Corp.,47.6396,-122.1281
AMZN,Amazon.com Inc.,47.6229,-122.3373
GOOGL,Alphabet Inc.,37.4220,-122.0841
META,Meta Platforms Inc.,37.4848,-122.1484
TSLA,Tesla Inc.,37.3947,-122.1503
NVDA,NVIDIA Corp.,37.3706,-121.9624
BRK-B,Berkshire Hathaway,41.2565,-95.9345
JPM,JPMorgan Chase,40.7128,-74.0060
JNJ,Johnson & Johnson,40.7433,-74.0324
V,Visa Inc.,37.5570,-122.3300
MA,Mastercard Inc.,40.7850,-73.9680
BAC,Bank of America,35.2271,-80.8431
WMT,Walmart Inc.,36.3729,-94.2080
HD,Home Depot Inc.,33.8895,-84.4882
PG,Procter & Gamble,39.1031,-84.5120
XOM,Exxon Mobil,29.7604,-95.3698
CVX,Chevron,37.7890,-122.3969
KO,Coca-Cola,33.7537,-84.3884
PEP,PepsiCo,41.0300,-73.7051

